EVENT: 
CAR: 99
DRIVER: D4
COMMENT:  Setup 4 
DATE: 07/03/2022
TIME: 13:21:00
Lap Time; Total Lap Number; Outing Number; Outing Lap Number; Session Number; Session Lap Number; Driver Number; Driver Number Scattered; Sector 1 Time [s]; Sector 2 Time [s]; Sector 3 Time [s]; Alias Vehicle Speed [km/h]; Math Fuel Per Lap [l]; Math Fuel Per Lap [l]; Math Lateral Acceleration Integral; Math Steering Integral; Math Steering Angle Aggression; Math Vehicle Balance ; Math IS Braking and Steering; Alias Throttle Pos; Math Throttle Aggression; Math Brake Pres Total [bar]; Math Brake Pres Total [bar]; Alias Long Acc [G]; Math Brake Aggression; Math Brake Release Smoothness; Math Brake Pressure Efficiency; Math IS Coasting; Math IS Crossing; Math Brake Bias [%]; Math Brake Bias Migration [%]; Math Brake Dispersion; Math Roll Gradient Front.A; Math Roll Gradient Rear.A; Math Susp Heave Stiffness Front.A; Math Susp Heave Stiffness Rear.A; Math Susp Roll Stiffness Front.A; Math Susp Roll Stiffness Rear.A; Math Damper Vibration FL; Math Damper Vibration FR; Math Damper Vibration RL; Math Damper Vibration RR; Math Wheel Slip Traction RL [%]; Math Wheel Slip Traction RR [%]; Math Wheel Locked FL; Math Wheel Locked FR; Math Wheel Locked RL; Math Wheel Locked RR; Math Wheel Slip Braking FL [%]; Math Wheel Slip Braking FR [%]; Math Wheel Slip Braking RL [%]; Math Wheel Slip Braking RR [%]; Math Damper HSC Percentage FL [%]; Math Damper HSC Percentage FR [%]; Math Damper HSC Percentage RL [%]; Math Damper HSC Percentage RR [%]; Math Damper HSR Percentage FL [%]; Math Damper HSR Percentage FR [%]; Math Damper HSR Percentage RL [%]; Math Damper HSR Percentage RR [%]; Math Damper LSC Percentage FL [%]; Math Damper LSC Percentage FR [%]; Math Damper LSC Percentage RL [%]; Math Damper LSC Percentage RR [%]; Math Damper LSR Percentage FL [%]; Math Damper LSR Percentage FR [%]; Math Damper LSR Percentage RL [%]; Math Damper LSR Percentage RR [%]; Math Downforce Coefficient Gated; Math Downforce Distribution Gated [%]; Math LLTD Gated [%]; Math Diff Lock Coasting [%]; Tire Pressure FL [psi]; Tire Pressure FR [psi]; Tire Pressure RL [psi]; Tire Pressure RR [psi]; ABS Active; TC Active; 
s; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
121.073; 20; 4; 1; 0; 19; 3; 2.980416129869603; 0; 0; 0; 242; 0; 1.89; 4493.5; 3740.4; 3.28; 1.64; 6.52; 66.17; 108.79; 164.83; 15.87; -2.4181; 572.74; 376.58; 1.17; 6.62; 2.07; 61.77; -2.11; NaN; -0.4767; -0.4987; 128.859; 122.7203; 183.487; 158.8134; 1.58; 1.44; 2.3; 2.26; 2.32; 2.32; 1.88; 4.35; 9.46; 3.23; 3.61; 3.69; 4.17; 3.31; 27.2; 25.44; 29.11; 28.52; 24.64; 23.34; 31; 31.18; 25.36; 25.87; 16.54; 16.1; 22.81; 25.35; 23.35; 24.2; 1.48; 37.13; 52; NaN; 25.2655; 25.3293; 25.8089; 25.7632; 0.0013; 0; 
120.278; 21; 4; 2; 0; 20; 3; 2.9521739576953343; 0; 0; 0; 242.2; 0; 1.93; 4598.17; 3628.9; 2.98; 1.58; 5.74; 67.88; 89.46; 164.84; 16.37; -2.3638; 517.14; 383.34; 1.16; 6.17; 2.1; 61.92; -1.61; 1.09; -0.4781; -0.4969; 125.8953; 125.9293; 183.1638; 158.7889; 1.54; 1.34; 2.14; 2.17; 2.38; 2.39; 2.66; 3.21; 6.11; 4.3; 3.64; 3.88; 3.77; 3.62; 26.73; 24.63; 28.83; 27.38; 24.1; 22.09; 30.01; 30.1; 25.49; 27.08; 16.94; 17.05; 23.68; 26.2; 24.22; 25.47; 1.51; 36.13; 51.9; 43.86; 25.2376; 25.3563; 25.9411; 25.7818; 0.0003; 0; 
120.917; 22; 4; 3; 0; 21; 3; 2.962625636073121; 0; 0; 0; 242.3; 0; 1.91; 4520.54; 3767.98; 3.4; 1.68; 6.02; 66.83; 120.41; 164.82; 16.28; -2.387; 500.53; 343.09; 1.16; 5.28; 2.14; 61.84; -2.19; 0.99; -0.4767; -0.4968; 124.8516; 130.7351; 182.9615; 158.7431; 1.69; 1.53; 2.45; 2.44; 2.47; 2.47; 2.42; 2.89; 4.78; 1.71; 3.39; 3.72; 3.41; 3.08; 27.62; 25.34; 29.32; 28.2; 24.65; 23.4; 30.55; 31.09; 24.36; 26.27; 16.24; 16.71; 23.38; 25; 23.89; 23.99; 1.49; 36.82; 51.35; 44.46; 25.2801; 25.416; 26.0066; 25.8057; 0.0007; 0; 
120.279; 23; 4; 4; 0; 22; 3; 3.010798978181928; 0; 0; 0; 242.4; 0; 1.93; 4535.79; 3593.08; 3.78; 1.54; 5.49; 68.26; 149.1; 164.77; 16.35; -2.4188; 459.88; 474.15; 1.17; 6.56; 2.1; 61.92; -1.9; 1.07; -0.4758; -0.4956; 125.3348; 132.2942; 183.065; 159.646; 1.52; 1.32; 2.18; 2.12; 2.48; 2.47; 3.33; 7.32; 7.62; 7.44; 3.75; 4.06; 3.88; 3.72; 27.41; 24.61; 28.83; 27.65; 24.61; 22.58; 31.52; 30.12; 24.29; 27.02; 16.36; 16.75; 23.69; 25.78; 23.29; 25.48; 1.5; 36.01; 52.33; 43.78; 25.3811; 25.4409; 26.1524; 25.9293; 0.0008; 0; 
120.365; 24; 4; 5; 0; 23; 3; 2.983672873831202; 0; 0; 0; 242.6; 0; 1.91; 4615.19; 3673.4; 3.75; 1.62; 6.26; 67.25; 113.26; 164.84; 16.09; -2.3511; 523.84; 382.4; 1.16; 6.72; 2.04; 61.94; -1.86; 0.96; -0.478; -0.4947; 127.3378; 127.7077; 184.0623; 159.919; 1.57; 1.35; 2.11; 2.1; 2.44; 2.45; 2.38; 7.95; 7.26; 4.26; 3.59; 4.41; 3.96; 3.75; 27.1; 25.44; 28.53; 27.34; 23.77; 22.68; 30.74; 30.51; 25.39; 26.89; 16.52; 17.14; 23.74; 24.99; 24.22; 25.02; 1.52; 36.88; 51.8; 45.62; 25.3437; 25.4339; 26.2004; 25.873; 0.001; 0; 
121.579; 25; 4; 6; 0; 24; 3; 3.0196058662932397; 0; 0; 0; 242.8; 0; 1.93; 4678.8; 4132.09; 6.63; 1.93; 6.51; 67.61; 155.83; 164.97; 15.72; -2.0954; 540.05; 396.89; 1.18; 6.51; 2.13; 61.91; -2.09; 0.99; -0.4773; -0.4938; 126.0138; 122.6015; 184.4934; 159.4657; 1.88; 1.66; 2.52; 2.56; 3.08; 3.1; 2.49; 12.53; 8.35; 7.79; 3.46; 4.71; 3.76; 3.86; 28.57; 26.71; 29.73; 28.58; 25.07; 23.08; 31.2; 30.56; 23.81; 25.56; 16.32; 16.77; 22.55; 24.64; 22.75; 24.08; 1.45; 40.19; 51.64; 44.24; 25.505; 25.5697; 26.5669; 26.3926; 0.0023; 0; 
120.866; 26; 4; 7; 0; 25; 3; 3.0051559990528767; 0; 0; 0; 241.4; 0; 1.92; 4702.49; 3833.64; 4.82; 1.72; 6.49; 67.6; 157.22; 164.86; 15.36; -2.35; 580.08; 361.57; 1.18; 6.43; 2.12; 61.78; -2.12; 0.97; -0.4745; -0.4949; 124.1479; 119.7793; 183.7668; 160.3412; 1.78; 1.45; 2.39; 2.27; 2.99; 3.04; 1.47; 10.15; 7.46; 5.62; 3.43; 4.38; 3.82; 3.63; 27.8; 25.48; 28.88; 27.88; 24.68; 23.11; 31.36; 31.16; 24.08; 26.02; 16.67; 16.77; 23.44; 25.39; 23.09; 24.18; 1.51; 35.94; 51.87; 44.55; 25.6098; 25.4031; 27.3232; 26.6761; 0.0026; 0; 
119.963; 27; 4; 8; 0; 26; 3; 2.9697486166934244; 0; 0; 0; 243.4; 0; 1.94; 4670.59; 3653.47; 4.33; 1.59; 5.77; 68.49; 123.32; 164.9; 16.15; -2.1931; 550.8; 417.35; 1.16; 6.79; 2.13; 62.02; -1.8; 1.05; -0.4756; -0.4968; 125.561; 124.7449; 183.8203; 160.2108; 1.61; 1.33; 2.14; 2.22; 2.56; 2.57; 2.1; 13.75; 3.95; 9.1; 3.89; 4.92; 3.95; 4.17; 27.55; 24.9; 28.86; 27.57; 24.37; 22.72; 31.09; 31.22; 24.82; 27.4; 16.42; 16.93; 23.27; 24.98; 23.64; 24.28; 1.49; 35.81; 51.35; 46.04; 25.5965; 25.4715; 26.3626; 26.1233; 0.003; 0; 
