LapTime,TotalLapNumber,OutingNumber,OutingLapNumber,SessionNumber,SessionLapNumber,DriverNumber,DriverNumberScattered,Sector1Time[s],Sector2Time[s],Sector3Time[s],AliasVehicleSpeed[km/h],MathFuelPerLap[l],MathFuelPerLap[l],MathLateralAccelerationIntegral,MathSteeringIntegral,MathSteeringAngleAggression,MathVehicleBalance,MathISBrakingandSteering,AliasThrottlePos,MathThrottleAggression,MathBrakePresTotal[bar],MathBrakePresTotal[bar],AliasLongAcc[G],MathBrakeAggression,MathBrakeReleaseSmoothness,MathBrakePressureEfficiency,MathISCoasting,MathISCrossing,MathBrakeBias[%],MathBrakeBiasMigration[%],MathBrakeDispersion,MathRollGradientFront.A,MathRollGradientRear.A,MathSuspHeaveStiffnessFront.A,MathSuspHeaveStiffnessRear.A,MathSuspRollStiffnessFront.A,MathSuspRollStiffnessRear.A,MathDamperVibrationFL,MathDamperVibrationFR,MathDamperVibrationRL,MathDamperVibrationRR,MathWheelSlipTractionRL[%],MathWheelSlipTractionRR[%],MathWheelLockedFL,MathWheelLockedFR,MathWheelLockedRL,MathWheelLockedRR,MathWheelSlipBrakingFL[%],MathWheelSlipBrakingFR[%],MathWheelSlipBrakingRL[%],MathWheelSlipBrakingRR[%],MathDamperHSCPercentageFL[%],MathDamperHSCPercentageFR[%],MathDamperHSCPercentageRL[%],MathDamperHSCPercentageRR[%],MathDamperHSRPercentageFL[%],MathDamperHSRPercentageFR[%],MathDamperHSRPercentageRL[%],MathDamperHSRPercentageRR[%],MathDamperLSCPercentageFL[%],MathDamperLSCPercentageFR[%],MathDamperLSCPercentageRL[%],MathDamperLSCPercentageRR[%],MathDamperLSRPercentageFL[%],MathDamperLSRPercentageFR[%],MathDamperLSRPercentageRL[%],MathDamperLSRPercentageRR[%],MathDownforceCoefficientGated,MathDownforceDistributionGated[%],MathLLTDGated[%],MathDiffLockCoasting[%],TirePressureFL[psi],TirePressureFR[psi],TirePressureRL[psi],TirePressureRR[psi],ABSActive,TCActive
121.184,1,1,1,0,0,0,-0.00722752905321658,0,0,0,244.3,0,1.92,4391.74,2996.18,3.7,1.05,7.6,67.14,106.72,164.92,18.13,-2.2842,482.06,397.3,1.13,4.42,2.23,71,-1.55,NaN,-0.469,-0.5062,133.1221,125.9579,185.6321,158.3564,2.01,1.71,2.3,2.04,2.38,2.42,9.5,5.78,1.39,0,5.64,5.34,2.71,2.25,29.38,28.15,28.91,28.24,26.61,24.94,29.81,28.26,22.31,23.6,18.23,19.24,21.7,23.31,23.05,24.25,1.44,43.26,51.64,NaN,25.0503,24.9446,25.6711,25.6171,0.0102,0.0111
120.985,2,1,2,0,1,0,-0.02071576945982677,0,0,0,245.2,0,1.94,4528.75,2911.19,3.44,0.97,7.6,67.95,121.46,164.87,17.67,-2.2432,536.63,382.57,1.13,6.79,2.35,71.04,-1.79,1.11,-0.474,-0.503,132.431,127.5858,183.9286,157.6469,1.82,1.52,2.03,1.94,2.38,2.42,8.33,5.07,0.06,0.06,5.29,5.31,2.15,2.06,29.02,26.85,28.26,28.19,26.12,24.04,28.98,28.84,22.76,24.71,19.85,18.67,22.1,24.4,22.91,24.3,1.45,40.31,51.65,43.1,25.0812,24.9322,25.8929,25.6103,0.0089,0.0098
120.903,3,1,3,0,2,0,0.023586709086590774,0,0,0,245.7,0,1.92,4479.95,2852.76,3.52,0.93,8.37,66.89,104.22,164.91,17.52,-2.3654,516.76,386.81,1.14,5.8,2.36,70.96,-1.86,1.08,-0.4786,-0.4991,127.7231,129.0499,182.5063,157.4645,2,1.72,2.2,2.13,2.3,2.32,3.55,12.26,0.17,2.06,4.99,5.71,1.92,2.41,28.35,27.6,28.55,28.54,26.85,25.03,29,28.69,22.68,23.79,18.45,18.06,22.12,23.58,24,24.7,1.41,42.85,52.02,42.63,24.9885,24.8059,25.7158,25.6556,0.0126,0.0089
120.199,4,1,4,0,3,0,-0.03511755111865585,0,0,0,245.5,0,1.94,4547.67,2994.27,3.25,1.06,7.95,68.23,121.83,164.76,17.66,-2.1891,509.18,364.27,1.14,5.67,2.43,71,-1.95,1.23,-0.4778,-0.4992,126.6299,130.491,182.2578,158.7617,1.88,1.6,2.1,2,2.37,2.35,5.73,8.79,0.29,1.5,5.21,5.38,1.94,2.11,28.43,27.03,28.12,27.42,26.11,24.05,28.98,28.89,22.59,24.69,18.22,19.79,22.87,24.23,24.68,23.9,1.41,43.23,51.2,44.55,25.2551,25.1438,25.7731,25.7828,0.0118,0.0075
120.488,5,1,5,0,4,0,0.032545131436802974,0,0,0,245.3,0,1.93,4641.26,3097.77,3.91,1.14,7.2,67.6,120.66,164.81,17.06,-2.2,580.06,416.64,1.14,6.27,2.32,71.07,-1.82,1.18,-0.4736,-0.5024,129.0837,132.3975,183.1125,160.0581,1.97,1.68,2.2,2.09,2.43,2.41,4.35,7.9,0.18,0.12,5.15,5.29,2.07,2.08,29.45,28.29,29.39,28.21,26.9,24.92,29.63,29.33,22.26,23.14,18.07,19.16,21.39,23.65,22.91,23.31,1.42,41.74,51.75,44.65,25.3429,25.1684,25.9584,25.7185,0.0088,0.0093
