LapTime,TotalLapNumber,OutingNumber,OutingLapNumber,SessionNumber,SessionLapNumber,DriverNumber,DriverNumberScattered,Sector1Time[s],Sector2Time[s],Sector3Time[s],AliasVehicleSpeed[km/h],MathFuelPerLap[l],MathFuelPerLap[l],MathLateralAccelerationIntegral,MathSteeringIntegral,MathSteeringAngleAggression,MathVehicleBalance,MathISBrakingandSteering,AliasThrottlePos,MathThrottleAggression,MathBrakePresTotal[bar],MathBrakePresTotal[bar],AliasLongAcc[G],MathBrakeAggression,MathBrakeReleaseSmoothness,MathBrakePressureEfficiency,MathISCoasting,MathISCrossing,MathBrakeBias[%],MathBrakeBiasMigration[%],MathBrakeDispersion,MathRollGradientFront.A,MathRollGradientRear.A,MathSuspHeaveStiffnessFront.A,MathSuspHeaveStiffnessRear.A,MathSuspRollStiffnessFront.A,MathSuspRollStiffnessRear.A,MathDamperVibrationFL,MathDamperVibrationFR,MathDamperVibrationRL,MathDamperVibrationRR,MathWheelSlipTractionRL[%],MathWheelSlipTractionRR[%],MathWheelLockedFL,MathWheelLockedFR,MathWheelLockedRL,MathWheelLockedRR,MathWheelSlipBrakingFL[%],MathWheelSlipBrakingFR[%],MathWheelSlipBrakingRL[%],MathWheelSlipBrakingRR[%],MathDamperHSCPercentageFL[%],MathDamperHSCPercentageFR[%],MathDamperHSCPercentageRL[%],MathDamperHSCPercentageRR[%],MathDamperHSRPercentageFL[%],MathDamperHSRPercentageFR[%],MathDamperHSRPercentageRL[%],MathDamperHSRPercentageRR[%],MathDamperLSCPercentageFL[%],MathDamperLSCPercentageFR[%],MathDamperLSCPercentageRL[%],MathDamperLSCPercentageRR[%],MathDamperLSRPercentageFL[%],MathDamperLSRPercentageFR[%],MathDamperLSRPercentageRL[%],MathDamperLSRPercentageRR[%],MathDownforceCoefficientGated,MathDownforceDistributionGated[%],MathLLTDGated[%],MathDiffLockCoasting[%],TirePressureFL[psi],TirePressureFR[psi],TirePressureRL[psi],TirePressureRR[psi],ABSActive,TCActive
120.698,6,2,1,0,5,1,1.00313453071431,0,0,0,245.8,0,1.94,4580.93,3031.74,3.1,1.08,7.34,68.37,115.89,164.93,17.68,-2.163,562.59,341.14,1.15,4,2.3,70.92,-1.92,NaN,-0.457,-0.5112,143.7803,117.9137,205.5676,142.8726,1.74,1.57,2.06,2.05,2.44,2.46,6.73,6.9,0.17,0,5.05,5.34,2.14,2.22,28.67,27.18,28.03,28.09,26.44,24.81,29.2,28.92,23.16,23.97,18.88,19.25,21.73,24.05,23.9,23.75,1.4,40.67,55.73,NaN,25.0444,25.1102,25.7916,25.7671,0.0066,0.0103
119.873,7,2,2,0,6,1,1.0351653624256911,0,0,0,245.8,0,1.98,4608.06,3313.31,3.26,1.33,8.23,69.97,128.66,164.96,17.65,-2.1563,582.5,379.09,1.14,5.57,2.31,70.99,-1.71,1.22,-0.4582,-0.5083,145.8872,119.0566,204.7866,144.6435,1.77,1.57,2.09,1.99,2.5,2.51,7,8.56,0.06,0,5.52,5.37,2.27,2.13,28,26.71,28.09,27.25,26.11,23.87,28.98,28.53,23.66,25.09,19.46,19.18,22.23,24.33,23.47,25.03,1.36,41.5,55.92,49.09,25.4301,25.3297,25.8756,25.7823,0.0117,0.0105
119.937,8,2,3,0,7,1,1.039468453866182,0,0,0,246,0,2,4669.3,3396.68,3.54,1.39,7.77,70.54,170.28,164.91,17.23,-2.2381,592.2,325.08,1.15,7.49,2.28,70.99,-1.88,1.03,-0.4578,-0.5056,148.7293,117.628,204.2911,144.294,1.82,1.58,2.09,2.08,2.54,2.55,7.7,8.41,0.24,0,5.5,5.39,2.19,2.16,29.02,26.65,29.02,27.59,26.3,24.48,29.01,29.23,22.69,24.9,18.91,18.77,22,23.97,23.07,24.4,1.35,40.67,55.19,54.3,25.5509,25.4714,25.9945,25.9187,0.0113,0.015
120.109,9,2,4,0,8,1,0.9641280476535335,0,0,0,245.7,0,1.96,4740.83,3418.62,3.59,1.39,7.68,68.88,135.54,164.83,16.74,-2.1353,514.9,402.85,1.15,7.47,2.3,70.87,-1.96,1.1,-0.4566,-0.5051,148.0974,116.7661,203.797,143.694,1.85,1.7,2.17,2.16,2.51,2.51,4.79,7.25,0.23,0.47,5.17,5.02,2.11,2,28.75,27.59,28.57,27.84,25.92,24.83,29.38,29.08,23.19,23.82,19.07,18.78,22.14,23.77,22.99,24.3,1.38,41.47,55.67,52.55,25.5901,25.476,26.0064,25.9137,0.0093,0.0122
120.223,10,2,5,0,9,1,0.9522029649942195,0,0,0,245.3,0,1.95,4736.18,3337.18,3.44,1.33,7.42,68.42,135.18,164.89,16.7,-2.1736,530.69,346.41,1.15,6.42,2.31,70.94,-1.82,1.25,-0.4562,-0.5057,148.6741,115.9226,204.735,144.3503,1.85,1.68,2.22,2.22,2.61,2.61,4.98,11.39,0.06,0,4.92,5.84,2.11,2.34,29.1,27.47,28.65,27.54,26.01,25.02,29.46,28.39,23.52,23.85,18.87,19.35,21.37,23.65,23.02,24.73,1.38,41.94,55.4,52.98,25.5089,25.4549,26.031,25.916,0.0085,0.0121
119.768,11,2,6,0,10,1,0.9547943254023763,0,0,0,246,0,1.97,4818.7,3540.08,4.16,1.51,7.42,69.75,178.93,164.87,16.87,-2.296,465.19,408.73,1.14,7.36,2.3,71.01,-1.88,1.26,-0.4568,-0.5064,147.9001,116.9489,205.8869,142.9421,1.86,1.7,2.11,2.14,2.48,2.46,5.57,12.24,0,0.43,5.12,5.7,1.88,2.31,29.1,27.06,28.7,28.75,25.86,24.96,28.59,29.2,22.75,24.5,18.72,18.97,22.29,23.49,23.99,23.09,1.35,41.95,55.57,55.44,25.6341,25.5899,26.3425,26.1334,0.0117,0.0119
119.068,12,2,7,0,11,1,1.0072432500576802,0,0,0,246,0,1.98,4816.44,3308.25,2.94,1.34,7.62,70.02,150.77,164.79,17.39,-2.3663,535.59,410.19,1.14,6.33,2.23,71.06,-1.85,1.17,-0.4565,-0.5072,149.5629,121.4254,205.0157,144.3044,1.76,1.63,2.04,2.05,2.58,2.6,5.68,8.51,1.81,0.06,5.24,5.43,2.26,2.16,29.29,27.15,29.75,27.91,26.38,25.13,29.34,29.05,22.41,24.24,17.81,18.99,21.93,23.48,23.1,24.04,1.39,43.05,55.16,52.15,25.5287,25.609,26.1182,26.0245,0.0116,0.0094
119.976,13,2,8,0,12,1,0.9606323332109639,0,0,0,246,0,1.98,4847.24,3377.82,4.3,1.38,8.23,69.95,158.32,164.77,16.87,-2.3657,544.17,361.87,1.16,6.44,2.33,70.93,-2.03,1.07,-0.4553,-0.5079,148.8724,117.7662,204.9127,145.2436,1.88,1.56,2.12,2.11,2.5,2.53,3.96,7.62,0,0,5.24,5.49,2.12,2.07,29.13,26.87,28.9,27.95,26.26,24.87,29.08,29.29,22.56,24.32,18.6,19.21,22.05,23.95,23.43,23.55,1.37,40.87,55.05,52.98,25.695,25.559,26.2727,26.0647,0.0078,0.0117
