LapTime,TotalLapNumber,OutingNumber,OutingLapNumber,SessionNumber,SessionLapNumber,DriverNumber,DriverNumberScattered,Sector1Time[s],Sector2Time[s],Sector3Time[s],AliasVehicleSpeed[km/h],MathFuelPerLap[l],MathFuelPerLap[l],MathLateralAccelerationIntegral,MathSteeringIntegral,MathSteeringAngleAggression,MathVehicleBalance,MathISBrakingandSteering,AliasThrottlePos,MathThrottleAggression,MathBrakePresTotal[bar],MathBrakePresTotal[bar],AliasLongAcc[G],MathBrakeAggression,MathBrakeReleaseSmoothness,MathBrakePressureEfficiency,MathISCoasting,MathISCrossing,MathBrakeBias[%],MathBrakeBiasMigration[%],MathBrakeDispersion,MathRollGradientFront.A,MathRollGradientRear.A,MathSuspHeaveStiffnessFront.A,MathSuspHeaveStiffnessRear.A,MathSuspRollStiffnessFront.A,MathSuspRollStiffnessRear.A,MathDamperVibrationFL,MathDamperVibrationFR,MathDamperVibrationRL,MathDamperVibrationRR,MathWheelSlipTractionRL[%],MathWheelSlipTractionRR[%],MathWheelLockedFL,MathWheelLockedFR,MathWheelLockedRL,MathWheelLockedRR,MathWheelSlipBrakingFL[%],MathWheelSlipBrakingFR[%],MathWheelSlipBrakingRL[%],MathWheelSlipBrakingRR[%],MathDamperHSCPercentageFL[%],MathDamperHSCPercentageFR[%],MathDamperHSCPercentageRL[%],MathDamperHSCPercentageRR[%],MathDamperHSRPercentageFL[%],MathDamperHSRPercentageFR[%],MathDamperHSRPercentageRL[%],MathDamperHSRPercentageRR[%],MathDamperLSCPercentageFL[%],MathDamperLSCPercentageFR[%],MathDamperLSCPercentageRL[%],MathDamperLSCPercentageRR[%],MathDamperLSRPercentageFL[%],MathDamperLSRPercentageFR[%],MathDamperLSRPercentageRL[%],MathDamperLSRPercentageRR[%],MathDownforceCoefficientGated,MathDownforceDistributionGated[%],MathLLTDGated[%],MathDiffLockCoasting[%],TirePressureFL[psi],TirePressureFR[psi],TirePressureRL[psi],TirePressureRR[psi],ABSActive,TCActive
119.913,14,3,1,0,13,2,1.985894372982855,0,0,0,245.9,0,1.95,4762.95,2701.49,4.18,0.83,6.87,68.4,136.81,164.85,16.01,-2.1409,574.33,384.75,1.15,7.53,2.27,70.96,-1.87,NaN,-0.4997,-0.4967,123.2657,124.3686,167.6585,171.2916,1.79,1.73,2.17,2.05,2.56,2.56,3.66,7.63,0.5,0,5.17,5.32,2.26,2.11,28.86,27.68,28.96,28.84,26.27,25.87,29.35,28.73,22.66,23.14,18.6,18.64,22.22,23.31,23.08,23.79,1.39,44.22,49.58,NaN,25.182,25.3133,26.0935,26.4297,0.0075,0.0145
119.429,15,3,2,0,14,2,1.9932225321620807,0,0,0,246.2,0,1.96,4627.08,2807.32,3.75,0.94,7.14,69.25,145.73,164.88,17.34,-2.229,542.09,440.31,1.14,7.44,2.29,71.1,-1.77,1.27,-0.499,-0.4966,119.5484,123.0573,165.3642,170.2099,1.75,1.56,2.02,1.93,2.51,2.54,4.22,10.64,0.49,0.06,5.28,5.67,2.28,2.23,29.68,26.49,28.75,27.59,26.84,24.29,29.62,28.21,22.29,24.58,18.74,19.12,21.19,24.65,22.89,25.08,1.37,44.2,49.32,48.07,25.4267,25.3133,26.4326,26.3255,0.0087,0.0095
119.442,16,3,3,0,15,2,2.027832703887407,0,0,0,246.7,0,1.94,4801.69,2669.92,3.33,0.81,8.15,68.57,125.81,164.83,16.91,-2.2061,493.12,355.58,1.14,7.85,2.19,70.93,-1.91,1.08,-0.5029,-0.4966,116.872,127.9216,164.5268,168.2557,1.69,1.47,1.91,1.86,2.44,2.45,5.47,6.06,0,0,5.1,5.45,2.21,2.46,28.39,26.2,28.01,26.99,25.92,24.39,28.28,28.13,23.47,24.53,19.42,19.5,22.22,24.88,24.3,25.38,1.38,44.39,49.69,45.44,25.2441,25.0423,26.188,26.0184,0.0102,0.0117
119.807,17,3,4,0,16,2,1.9953552211380354,0,0,0,245.8,0,1.93,4564.17,2890.14,4.13,0.98,8.75,68.03,116.78,164.93,17.11,-2.2344,477.33,401.11,1.14,6.04,2.35,70.97,-1.74,1.33,-0.5054,-0.498,123.4122,132.6725,166.8188,167.5758,1.84,1.55,2.1,1.9,2.4,2.43,6.82,11.68,0.95,1.24,5.08,5.84,2.1,2.42,29.58,26.16,29.13,27.52,26.81,24.61,29.6,28.53,21.67,25.21,18.5,19.4,21.95,24.02,22.77,24.55,1.36,44.2,49.58,44.64,25.2828,25.3315,26.1098,26.177,0.011,0.009
120.594,18,3,5,0,17,2,1.9597629352518184,0,0,0,246.1,0,1.93,4671.79,2728.05,5.61,0.83,7.54,67.67,151.78,164.77,16.52,-2.1616,533.41,406.95,1.15,8.24,2.26,70.94,-1.78,1.21,-0.504,-0.4963,131.4973,129.4878,167.6359,167.0006,1.96,1.72,2.21,2.2,2.47,2.47,4.92,8.4,0.06,0,5.14,5.34,2.11,2.19,29.23,27.12,28.19,28.18,26.05,25.3,29.41,28.53,22.6,24.41,18.9,19.23,22.12,23.16,23.51,24.06,1.36,43.95,49.81,45.86,25.1993,25.2168,26.3431,26.2614,0.0075,0.0103
119.596,19,3,6,0,18,2,2.0397186500903772,0,0,0,246.1,0,1.94,4843.35,2778.56,4.09,0.91,7.58,68.55,135.36,164.91,17.1,-2.1952,563.1,420.09,1.14,6.47,2.31,71.06,-1.79,1.22,-0.5041,-0.4946,129.0847,126.3341,166.2923,167.692,1.96,1.62,2.13,2.09,2.48,2.53,7.96,11.48,0.24,0.85,5.39,5.82,2.32,2.53,29.31,27.4,29.49,28.41,26.95,25.22,29.57,29.51,22.16,24.39,18.35,18.94,21.58,22.99,22.59,23.14,1.38,44.77,49.2,47.68,25.2805,25.1394,26.2342,26.1449,0.0125,0.0132
